Puerto;Pais
Aarhus;Dinamarca
Abidjan;Costa de Marfil
Acajutla;El Salvador
Al Khoms;Libia
Alemania;Alemania
Algeciras;España
Algiers;Argelia
Ambarli;Turquía
Amberes;Bélgica
AMSTERDAM aéreo;Holanda
Amsterdarm;Holanda
Antwerp;Bélgica
Aqaba;Jordania
Ashdod;Israel
Auckland;Nueva Zelandia
Austria;Austria
Bahrain;Bahréin
Bahrain aéreo;Bahréin
Balboa;Panamá
Bangkok;Tailandia
Bangkok aéreo;Tailandia
Barcelona;España
Barcelona aéreo;España
Barranquilla;Colombia
Bassens;Francia
BEIJING aéreo;China
Beirut;Líbano
Belawan;Indonesia
Bélgica;Bélgica
Berlin aéreo;Alemania
Birsfelden;Suiza
Bobadela;Portugal
Bogotá aéreo;Colombia
Brasil terrestre;Brasil
Bremerhaven;Alemania
Bruselas;Bélgica
Buenaventura;Colombia
Busan;Corea del Sur
Caldera;Costa Rica
Callao;Perú
Cambodia;Camboya
Canadá;Canadá
Capetown;Sudáfrica
Cartagena;Colombia
Casablanca;Marruecos
Caucedo;República Dominicana
Chennai;India
Chicago, IL aéreo;Estados Unidos
Chiwan;China
Ciudad De Guatemala;Guatemala
Ciudad de México - aéreo;México
Ciudad De Panamá;Panamá
Ciudad de Panamá aéreo;Panamá
Cochin;India
Corinto;Nicaragua
Costa Rica;Costa Rica
Cotonou;Benín
Da Chan Bay;China
Dalian;China
Dallas, TX aéreo;Estados Unidos
Dammam;Arabia Saudita
Degrad Des Cannes;Guayana Francesa
Dinamarca;Dinamarca
Dionizio Cerqueira;Brasil
Djibouti;Etiopía
Doha;Qatar
Domodedovo aéreo;Rusia
DUBAI aéreo;Emiratos Árabes Unidos
Dublin;Irlanda
Dublin aéreo;Irlanda
Ecuador;Ecuador
El Salvador;El Salvador
España;España
Estados Unidos;Estados Unidos
Estocolmo;Suecia
Felixstowe;Inglaterra
Fort De France;Martinica
Fos Sur Mer;Francia
Foshan;China
Foz de Iguazu;Brasil
Fraijanes;Guatemala
Francia;Francia
Frankfurt;Alemania
FRANKFURT aéreo;Alemania
Fray Bentos;Uruguay
Freeport;Bahamas
FUKUOKA aéreo;Japón
Gdynia;Polonia
Genova;Italia
Germany aéreo;Alemania
Gloucester-Us;Estados Unidos
Guangzhou;China
GUANGZHOU AIRPORT aéreo;China
GUARULHOS aéreo;Brasil
Guayaquil;Ecuador
Hai Phong;Vietnam
Hakata;Japón
Halifax;Canadá
Hamburg;Alemania
HANEDA aéreo;Japón
Helsingborg;Suecia
Helsinki;Finlandia
Ho Chi Min aéreo;Vietnam
Ho Chi Minh;Vietnam
Ho Chi Minh City;Vietnam
Holanda;Holanda
Honduras;Honduras
Hong Kong;Hong Kong
Hong Kong aéreo;Hong Kong
Houston;Estados Unidos
Houston, TX aéreo;Estados Unidos
INCHEON INTERNATIONAL AIRPORT;Corea del Sur
India;India
Inglaterra;Inglaterra
Irlanda;Irlanda
Istambuel - aéreo;Turquía
Istambul;Turquía
Itajai;Brasil
Italia;Italia
Itapoa;Brasil
Izmit;Turquía
Japan;Japón
Japón;Japón
Jawaharlal Nehru;India
Jebel Ali;Emiratos Árabes Unidos
Jeddah;Arabia Saudita
Jeddah aéreo;Arabia Saudita
Kaliningrad;Rusia
Kaohsiung;Taiwán
Keelung;Taiwán
King Abdullah;Arabia Saudita
Klaipeda;Lituania
Kobe;Japón
Kolkata;India
KUALA LUMPUR aéreo;Malasia
La Spezia;Italia
Laem Chabang;Tailandia
Las Cuevas;Argentina
Las Palmas;España
Lat Krabang;Tailandia
Le Havre;Francia
Leixoes;Portugal
Limassol;Chipre
Lisboa;Portugal
Livorno;Italia
Lome;Togo
London aéreo;Inglaterra
London Gateway Port;Inglaterra
Londres;Inglaterra
Long Beach;Estados Unidos
Los Angeles;Estados Unidos
MADRID aéreo;España
Malaysia aéreo;Malasia
Managua;Nicaragua
Manila;Filipinas
Manila aéreo;Filipinas
Manzanillo;México
Marsaxlokk;Malta
Memphis aéreo;Estados Unidos
Mersin;Turquía
México;México
Miami;Estados Unidos
MIAMI, FL aéreo;Estados Unidos
Milan aéreo;Italia
Milán Malpesa aéreo;Italia
Minneapolis aéreo;Estados Unidos
Moin;Costa Rica
Montevideo aéreo;Uruguay
Montreal;Canadá
Montreal aéreo;Canadá
Moscu aéreo;Rusia
Muenster aéreo;Alemania
Mumbai;India
Mumbai aéreo;India
Nansha;China
Nápoles;Italia
New Dehli;India
New Delhi aéreo;India
New York;Estados Unidos
NEW YORK, NY aéreo;Estados Unidos
Nhava Sheva;India
Ningbo;China
Noruega;Noruega
Norwich - aéreo;Inglaterra
Noumea;Nueva Caledonia
Oakland;Estados Unidos
Orlando, FL aéreo;Estados Unidos
Osaka;Japón
Osaka aéreo;Japón
Oslo;Noruega
Papeete aéreo;Tahiti
Penang;Malasia
Philadelphia;Estados Unidos
Piraeus;Grecia
Pointe A Pitre;Guadalupe
Pointe Des Galets;Reunión
Polonia;Polonia
Port Everglades;Estados Unidos
Port Kelang;Malasia
Port Klang;Malasia
Port Said;Egipto
Port Sudan;Sudán
Portugal;Portugal
Puerto Cabello;Venezuela
Puerto Cortés;Honduras
Puerto Falcon;Paraguay
Puerto Quetzal;Guatemala
Punta de Vacas;Argentina
Pusan;Corea del Sur
Qingdao;China
Ravenna;Italia
Republica Checa;República Checa
Riga;Letonia
Rio de Janeiro;Brasil
Rio Haina;República Dominicana
Riyadh;Arabia Saudita
Roma aéreo;Italia
Rotterdam;Holanda
Rumania;Rumania
Rusia;Rusia
Saint Petersburg aéreo;Rusia
Salalah;Omán
Salerno;Italia
SAN FRANCISCO, CA aéreo;Estados Unidos
San José;Costa Rica
San Juan;Puerto Rico
San Pedro;Estados Unidos
San Pedro Sula;Honduras
San Salvador aéreo;El Salvador
Sanshan;China
Santa Cruz De Tenerife;España
Santa Marta;Colombia
Santa Rosa;Perú
Santo Tomás De Castilla;Guatemala
Santos;Brasil
Sao Borja;Brasil
Sao Paulo aéreo;Brasil
Seattle;Estados Unidos
Seoul aéreo;Corea del Sur
Shanghai;China
SHANGHAI AIRPORT;China
Shekou;China
Shenzhen;China
SHENZHEN aéreo;China
Sheremetyevo aéreo;Rusia
Shuwaikh;Kuwait
Sin especificar;Canadá
SiNARITA INTERNATIONAL AIRPORT;Japón
Sines;Portugal
Singapore;Singapur
Sohar;Omán
SOUTH KOREA aéreo;Corea del Sur
St. Petersburg;Rusia
Stanley aéreo;Islas Falkland
Suape;Brasil
Suiza;Suiza
Taichung;Taiwán
Taipei;Taiwán
TAIPEI AIRPORT;Taiwán
Taiwan;Taiwán
Taiwán;Taiwán
Tambo Quemado;Bolivia
Tegucigalpa;Honduras
Tenerife;España
Thessaloniki;Grecia
Tianjin;China
Tilbury;Inglaterra
Tocumen aéreo;Panamá
Tokio aéreo;Japón
Tokyo;Japón
Tomakomai;Japón
Toronto;Canadá
Uruguayana;Brasil
Uspallata;Argentina
Vado;Italia
Vado Ligure;Italia
Valencia;España
Valencia aéreo;España
Vancouver;Canadá
Vancouver aéreo;Canadá
VIENNA aéreo;Francia
Vladivostok;Rusia
Wellington;Nueva Zelandia
Wilmington;Estados Unidos
Xiamen;China
Xingang;China
Yacuiba;Bolivia
Yakarta aéreo;Indonesia
Yantian;China
Yokohama;Japón
Zhengzhou Airport aéreo;China
Zhuhai marítimo;China
